No.,States/UTs,1999-00,2001-02,2003-04,2005-06,2007-08,2009-10,2011-12,2013-14
1,A & Nicobar Islands,-3.3,2.485,-11.63,-20.005,16.59,4.35,3.57,2.84
2,Andhra Pradesh,11.53,5.815,3.69,5.28,9.675,0.485,2.93,6.68
3,Arunachal Pradesh,5.24,3.915,1.505,-2.565,11.015,-4.135,10.23,1.12
4,Assam,-2.32,-0.99,1.365,0.605,2.365,4.415,3.88,4.46
5,Bihar,5.09,7.61,4.185,1.05,8.525,2.635,14.605,-0.655
6,Chandigarh,6.605,2.945,1.995,3.24,0.58,-3.295,-11.33,-4.675
7,Chhattisgarh,2.86,9.875,10.14,-2.26,6.9,-0.725,12.22,5.805
8,Delhi,10.315,0.01,-0.345,-1.34,-0.83,12.975,4.79,2.48
9,Goa,0,-9.195,10.595,11.385,-7.23,-3.24,1.555,-4.53
10,Gujarat,-10.1,9.56,16.53,8.17,4,-3.955,13.33,-6.96
11,Haryana,3.87,1.67,3.3,0.78,7.045,2.88,6.545,0.965
12,Himachal Pradesh,-1.565,12.34,6.955,3.875,4.145,-6.06,7.5,11.42
13,Jammu and Kashmir,6.31,2.73,5.685,0.74,0.855,1.68,5.335,0.725
14,Jharkhand,8.885,14.03,-7.24,7.605,9.095,5.18,15.345,7.225
15,Karnataka,10.51,-9,-10.18,16.8,4.765,3.17,4.77,-0.885
16,Kerala,2.6,1.395,0.235,5.095,-3.755,0.205,-3.215,4.39
17,Madhya Pradesh,3.805,-1.365,9.08,1.365,0.43,8.885,9.205,20.955
18,Maharashtra,7.085,0.485,6.475,1.58,13.895,-7.215,10.47,1.49
19,Manipur,0.715,3.88,5.77,4.58,5.045,11.495,-7.91,2.61
20,Meghalaya,8.98,4.54,4.095,5.69,0.205,3.205,3.21,3.76
21,Mizoram,0,-3.27,1.35,2.99,7.165,10.685,6.655,0.04
22,Nagaland,9.35,21.76,9.09,5.79,0.79,5.21,6.87,3.965
23,Odisha,-4.535,4.355,2.845,3.32,3.3,4.805,-1.28,3.88
24,Puducherry,0,-0.845,-0.39,-5.395,4.355,15.335,5.63,17.055
25,Punjab,5.17,1.115,2.27,1.555,3.335,0.865,1.745,0.3
26,Rajasthan,-6.44,10.07,23.93,-6.67,4.565,0.75,18.1,0.165
27,Sikkim,-4.345,6.78,6.96,4.66,2,4.26,21.61,2.765
28,Tamil Nadu,2.2,1.22,-11.485,15.635,4.415,2.03,8.71,-1.89
29,Tripura,5.965,6.06,2.12,3.315,12.64,5.43,10.145,5.14
30,Uttar Pradesh,6.57,1.15,1.995,0.645,2.965,1.7,5.15,3.66
31,Uttarakhand,1.91,0.58,4.58,1.37,3.375,2.985,4.195,3.825
32,West Bengal,0,4.15,0.895,2.12,4.165,2.295,-0.645,4.44
